id,field type,title,description,productImageUrl,link,,,price,Condition,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_3b374b7f-43b4-85a9-e053-2b83851934d8,Product,human forms jacket,<p>this jacket features elements of the human body ranging from line paintings to hand prints to anatomical hearts.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>size XL</li>	<li>dark wash</li>	<li>do not wash&nbsp;</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>,https://ibb.co/JjyFTLV,https://www.august-jane.com/product-page/human-forms-jacket,,,200,used,TRUE,PERCENT,0,instock,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_6f57cb51-677d-e86c-c4b2-aeba2c0cfc87,Product,other worlds jacket,<p>an eclectic of designs that wrap together for a time warp.</p><p>&nbsp;</p><ul>	<li>hand painted</li>	<li>size L&nbsp;</li>	<li>dark wash</li>	<li>vintage levi's</li>	<li>do not wash</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>,https://ibb.co/pypdxH0,https://www.august-jane.com/product-page/other-worlds-jacket,,,220,used,TRUE,PERCENT,0,outofstock,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_21d87434-de44-cc91-a75a-40b948b28394,Product,frida jacket,"<p>inspired by the iconic Frida Kahlo, this jacket depicts a monochrome portrait overlaying this legend on a pink background.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>dark wash denim&nbsp;</li>	<li>size 12 (best fit size small)&nbsp;</li>	<li>do not wash&nbsp;</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",https://ibb.co/W0fyjkt,https://www.august-jane.com/product-page/frida-jacket,,,200,used,TRUE,PERCENT,0,instock,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_75becda9-f0c3-98af-91b4-b1829279ddb7,Product,wildflowers jeans,"<p>so groovy and one of a kind - these jeans are adorned with wildflowers, a leopard and an eye.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>W 36 inches</li>	<li>inseam 32 inches</li>	<li>lowrise</li>	<li>vintage lee's&nbsp;</li>	<li>do not wash&nbsp;</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",https://ibb.co/Nm7k53v,https://www.august-jane.com/product-page/wildflowers-jeans,,,120,used,TRUE,PERCENT,0,in stock,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_af6c0dec-7aaf-0858-7f2e-e18dc3721961,Product,over the rainbow jeans,"<p>a groovy painted collage of toadstools and sunflowers, featuring a rainbow and a glowing sun.</p><p>&nbsp;</p><ul>	<li>hand painted</li>	<li>W 29 inches</li>	<li>inseam 30 inches&nbsp;</li>	<li>kick flare&nbsp;</li>	<li>do not wash&nbsp;</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",https://ibb.co/cLswf20,https://www.august-jane.com/product-page/over-the-rainbow-jeans,,,120,used,TRUE,PERCENT,0,in stock,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_30031b35-bb08-2f96-ddb4-65cbf2301c27,Product,game over jeans,<p>these flaming hot jeans feature glitching screens and a checkered pocket.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>W 26 inches</li>	<li>inseam 30 inches</li>	<li>high rise&nbsp;</li>	<li>do not wash</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>,https://ibb.co/DtQPCs1,https://www.august-jane.com/product-page/game-over-jeans,,,100,used,TRUE,PERCENT,0,in stock,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_a1081df6-20bf-213f-c519-fc3e1e1628bf,Product,brighter days jeans,"<p>inspired by nature, these jeans feature vibrant colors to brighten up your day.</p><p>&nbsp;</p><ul>	<li>hand painted&nbsp;</li>	<li>W 30 inches&nbsp;</li>	<li>H 42 inches&nbsp;</li>	<li>Inseam 30 inches</li>	<li>high-waisted</li>	<li>do not wash</li>	<li>spot clean only&nbsp;</li>	<li><strong>wearable art</strong></li></ul>",https://ibb.co/rHZNLrH,https://www.august-jane.com/product-page/brighter-days-jeans,,,120,used,TRUE,PERCENT,0,in stock,0,,,,,,,,,,,,,,,,,,,SHIPPING INFO,"<p>This product is ready to ship once order is placed. Due to COVID-19 we are experiencing some delays due to shipping.&nbsp;</p>
",RETURN POLICY,"<p>this item is not eligible for returns as it is a one of a kind.</p>
",,,,,,,,,,,,,,
product_88ee17dc-2a1a-85bd-b51b-743df21c07f3,Product,jane reversible bucket,"<p>The perfect bucket hat for summer. Groovy florals on one side for any festival or beach party you are attending, and corduroy on the other for more chill days.&nbsp;</p><p>&nbsp;</p><ul>	<li>Reversable</li>	<li>Pastel florals</li>	<li>Beige corduroy</li>	<li>Hand-made in New Zealand</li></ul>",https://ibb.co/KrQFzMr        https://ibb.co/84YnzGn,https://www.august-jane.com/product-page/jane-bucket,,,45,new,TRUE,PERCENT,0,in stock,0,Size,DROP_DOWN,S/M;L/XL,,,,,,,,,,,,,,,,RETURN POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order. Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,Order Notes,500,FALSE,,,
product_1e946f89-cf1a-e9a4-2661-2d9ec559d2f2,Product,rosalie blouse,<p>The perfect addition to any wardrobe. Made&nbsp;in&nbsp;100% linen&nbsp;fabric.&nbsp;</p><p>&nbsp;</p><ul>	<li>Square neckline</li>	<li>Puff sleeves</li>	<li>Open Back&nbsp;</li>	<li>Bow tie for closure</li>	<li>Hand-made in New Zealand</li></ul>,https://ibb.co/YXJkjpc,https://www.august-jane.com/product-page/rosalie-blouse,,,79,new,TRUE,PERCENT,0,InStock,0,Size,DROP_DOWN,XS;S;M;L;XL;XXL,Color,COLOR,#E7BCBC:Shell;#ffffff:White,,,,,,,,,,,,,RETURN POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order. Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,,,,,,
product_6b6778b4-c626-c00d-972c-b138d85e3f07,Product,blossom mini dress,<p>There is nothing quite like this hand-beaded blossom baby-doll dress. Each one is unique with hand-beaded fabric flowers and elegant peach beads.&nbsp;</p><p>&nbsp;</p><ul>	<li>Baby doll style&nbsp;</li>	<li>Square neckline</li>	<li>Puff sleeves</li>	<li>Pleated hem&nbsp;</li>	<li>100% Linen</li>	<li>Pull on style for ease</li>	<li>Bow in the back</li>	<li>Hand-made</li></ul>,https://ibb.co/GvMrkrm      https://ibb.co/kyXHz6x,https://www.august-jane.com/product-page/blossom-mini-dress,,,169,new,TRUE,AMOUNT,39,InStock,0,Size,DROP_DOWN,XS;S;M;L;XL;XXL,,,,,,,,,,,,,,,,RETURN & REFUND POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order.&nbsp;Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,,,,,,
product_93abf187-c2d6-029c-83d0-c5e882e04826,Product,dance with me halter top,"<p>Just in time for New Zealand's summer festivals! This halter top is the epitome of groovy. Made with deadstock vintage fabric- there are only a few available!&nbsp;</p><p>&nbsp;</p><p><strong>✿ </strong>plunging neckline</p><p><strong>✿&nbsp;</strong>tie neck</p><p><strong>✿ </strong>matching fabric buttons</p><p><strong>✿ </strong>halter top<strong>&nbsp;</strong></p><p><strong>✿</strong> handmade in New Zealand</p><p>&nbsp;</p><p>Model is a 34"" bust and 27"" waist and is wearing a size small.&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>",https://ibb.co/Stgn58v,https://www.august-jane.com/product-page/dance-with-me-halter-top,,,50,new,TRUE,PERCENT,0,InStock,0,Color,,,Size,DROP_DOWN,XS;S;M;L;XL,,,,,,,,,,,,,RETURN & REFUND POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order.&nbsp;Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.&nbsp;</p>
",,,,\,,,,,,,,,,
product_303ccf96-29e5-bdc7-c06e-2b367eef10d2,Product,grace slip,<p>The grace slip is an elegant number&nbsp;in vintage pastel silk.&nbsp;</p><p>&nbsp;</p><p><strong>✿&nbsp;</strong>bias cut skirt</p><p><strong>✿ </strong>open back</p><p><strong>✿ </strong>triangle top</p><p><strong>✿ </strong>adjustable straps</p><p><strong>✿&nbsp;</strong>one of a kind</p><p><strong>✿&nbsp;</strong>comes with matching facemask</p><p><strong>✿&nbsp;</strong>hand made in New Zealand</p><p>&nbsp;</p><p>&nbsp;</p>,https://ibb.co/DWqJHmY,https://www.august-jane.com/product-page/grace-slip,,,150,new,TRUE,PERCENT,0,InStock,0,Color,COLOR,#000000:Purple,,,,,,,,,,,,,,,,PRODUCT INFO,"<ul>
	<li>V-neckline&nbsp;</li>
	<li>Fit and Flare Silhouette</li>
	<li>Sewn-in bodysuit</li>
	<li>Pull-on style&nbsp;</li>
	<li>Partially Lined</li>
	<li>Lace is made of Nylon and Spandex, Medium Weight</li>
	<li>Body Suit is made of 100% Merino Wool. Temperature controlled to keep you cool during the day and warm at night.&nbsp;</li>
	<li>Hand-made</li>
</ul>
",RETURN & REFUND POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order. Each piece is hand sewn&nbsp;and it may take up to 2 weeks for it to ship.&nbsp;If you need it sooner email us and we'll do our best to make magic happen.</p>
",,,,,,,,,,,,
product_1f192535-1bbc-74bf-3810-cec92fa2a336,Product,stevie set,<p>The stevie set is made with beautiful lemon colored vintage silk. Adorned with a groovy floral print this set is quite unique.&nbsp;</p><p>&nbsp;</p><p><strong>✿ </strong>bias cut skirt</p><p><strong>✿ </strong>shirred top</p><p><strong>✿ </strong>tie straps</p><p><strong>✿ </strong>one of a kind</p><p><strong>✿&nbsp;</strong>comes with matching facemask</p><p><strong>✿&nbsp;</strong>hand made in New Zealand</p><p>&nbsp;</p>,https://ibb.co/rmc8bgT,https://www.august-jane.com/product-page/stevie-set,,,130,new,TRUE,AMOUNT,39,1,0,Size,DROP_DOWN,S,,,,,,,,,,,,,,,,RETURN & REFUND POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order. Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,,,,,,
product_8946f09b-767f-3910-b51e-3a8b6500734c,Product,eliza jumpsuit (short),"<p>70's inspired jumper. A summer staple and a whole outfit in one. If you are looking for an effortless summer look- this is the one.&nbsp;</p><p>&nbsp;</p><p><strong>✿&nbsp;</strong>100% linen in sky blue</p><p><strong>✿&nbsp;</strong>front zipper&nbsp;</p><p><strong>✿&nbsp;</strong>princess seams</p><p><strong>✿ </strong>hand-made belt made with fabric scraps</p><p><strong>✿&nbsp;</strong>70's inspired patch pockets</p><p>&nbsp;</p><p>model is 5'8"" with a 27"" waist and wearing a size small.</p>",https://ibb.co/3TYcyM9,https://www.august-jane.com/product-page/eliza-jumpsuit,,,120,new,TRUE,PERCENT,0,instock,0,,,,,,,,,,,,,,,,,,,RETURN & REFUND POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order. Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,,,,,,
product_ea6cfbd1-0291-4ae0-32ca-6029a1ee56fd,Product,eliza jumpsuit (long),"<p>70's inspired jumper. A summer staple and a whole outfit in one. If you are looking for an effortless summer look- this is the one.&nbsp;</p><p>&nbsp;</p><p><strong>✿&nbsp;</strong>100% linen in sky blue</p><p><strong>✿&nbsp;</strong>front zipper&nbsp;</p><p><strong>✿&nbsp;</strong>princess seams</p><p><strong>✿ </strong>hand-made belt made with fabric scraps</p><p><strong>✿&nbsp;</strong>70's inspired patch pockets</p><p>&nbsp;</p><p>model is 5'8"" with a 27"" waist and wearing a size small.</p>",https://ibb.co/VBcHwR5,https://www.august-jane.com/product-page/eliza-jumpsuit-long,,,150,new,TRUE,PERCENT,0,instock,0,,,,,,,,,,,,,,,,,,,RETURN & REFUND POLICY,"<p>This product is eligible for refund or store credit within 28 business days following our return policy.</p>
",SHIPPING INFO,"<p>We keep very limited stock, for the most part, each garment&nbsp;is made to order. Each piece is hand sewn and it may take up to 2 weeks for it to ship, but often will ship within one week.</p>
",,,,,,,,,,,,,,